Tempo,velocidade
307,"68,6"
308,"66,8"
309,"64,9"
310,62
311,"59,5"
312,"56,6"
313,"54,4"
314,"52,3"
315,"50,7"
316,"49,2"
317,"49,1"
318,"48,3"
319,"46,7"
320,"44,3"
321,"39,9"
322,"34,6"
323,"32,3"
324,"30,7"
325,"29,8"
326,"27,4"
327,"24,9"
328,"20,1"
329,"17,4"
330,"12,9"
331,"7,6"
332,"2,3"
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,"1,6"
348,"6,9"
349,"12,2"
350,"17,5"
351,"22,9"
352,"27,8"
353,"32,3"
354,"36,2"
355,"38,1"
356,"40,6"
357,"42,8"
358,"45,2"
359,"48,3"
360,"49,6"
361,"50,9"
362,"51,7"
363,"52,3"
364,"54,1"
365,"55,5"
366,"55,7"
367,"56,2"
368,56
369,"55,5"
370,"55,8"
371,"57,1"
372,"57,9"
373,"57,9"
374,"57,9"
375,"57,9"
376,"57,9"
377,"57,9"
378,"58,1"
379,"58,6"
380,"58,7"
381,"58,6"
382,"57,9"
383,"56,6"
384,"54,9"
385,"53,9"
386,"50,5"
387,"46,7"
388,"41,4"
389,37
390,"32,7"
391,"28,2"
392,"23,3"
393,"19,3"
394,14
395,"8,7"
396,"3,4"
397,0
398,0
399,0
400,0
401,0
402,0
403,"4,2"
404,"9,5"
405,"14,5"
406,"20,1"
407,"25,4"
408,"30,7"
409,36
410,"40,2"
411,"41,2"
412,"44,3"
413,"46,7"
414,"48,3"
415,"48,4"
416,"48,3"
417,"47,8"
418,"47,2"
419,"46,3"
420,"45,1"
421,"40,2"
422,"34,9"
423,"29,6"
424,"24,3"
425,19
426,"13,7"
427,"8,4"
428,"3,1"
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,"5,3"
449,"10,6"
450,"15,9"
451,"21,2"
452,"26,6"
453,31
454,"37,2"
455,"42,5"
456,"44,7"
457,"46,8"
458,"50,7"
459,"53,1"
460,"54,1"
461,56
462,"56,5"
463,"57,3"
464,"58,1"
465,"57,9"
466,"58,1"
467,"58,3"
468,"57,9"
469,"57,5"
470,"57,9"
471,"57,9"
472,"57,3"
473,"57,1"
474,57
475,"56,6"
476,"56,6"
477,"56,6"
478,"56,6"
479,"56,6"
480,"56,6"
481,"56,3"
482,"56,5"
483,"56,6"
484,"57,1"
485,"56,6"
486,"56,3"
487,"56,3"
488,"56,3"
489,56
490,"55,7"
491,"55,8"
492,"53,9"
493,"51,5"
494,"48,4"
495,"45,1"
496,41
497,"36,2"
498,"31,9"
499,"26,6"
500,"21,2"
501,"16,6"
502,"11,6"
503,"6,4"
504,"1,6"
505,0
506,0
507,0
508,0
509,0
510,0
511,"1,9"
512,"5,6"
513,"8,9"
514,"10,5"
515,"13,7"
516,"15,4"
517,"16,9"
518,"19,2"
519,"22,5"
520,"25,7"
521,"28,5"
522,"30,6"
523,"32,3"
524,"33,8"
525,"35,4"
526,37
527,"38,3"
528,"39,4"
529,"40,1"
530,"40,2"
531,"40,2"
532,"40,2"
533,"40,2"
534,"40,2"
535,"40,2"
536,"41,2"
537,"41,5"
538,"41,8"
539,"41,2"
540,"40,6"
541,"40,2"
542,"40,2"
543,"40,2"
544,"39,3"
545,"37,2"
546,"31,9"
547,"26,6"
548,"21,2"
549,"15,9"
550,"10,6"
551,"5,3"
552,0
553,0
554,0
555,0
556,0
557,0
558,0
559,0
560,0
561,0
562,0
563,0
564,0
565,0
566,0
567,0
568,0
569,"5,3"
570,"10,6"
571,"15,9"
572,"20,9"
573,"23,5"
574,"25,7"
575,"27,4"
576,"27,4"
577,"27,4"
578,"28,2"
579,"28,5"
580,"28,5"
581,"28,2"
582,"27,4"
583,"27,2"
584,"26,7"
585,"27,4"
586,"27,5"
587,"27,4"
588,"26,7"
589,"26,6"
590,"26,6"
591,"26,7"
592,"27,4"
593,"28,3"
594,"29,8"
595,"30,9"
596,"32,5"
597,"33,8"
598,34
599,"34,1"
600,"34,8"
601,"35,4"
602,36
603,"36,2"
604,"36,2"
605,"36,2"
606,"36,5"
607,"38,1"
608,"40,4"
609,"41,8"
610,"42,6"
611,"43,5"
612,42
613,"36,7"
614,"31,4"
615,"26,1"
616,"20,8"
617,"15,4"
618,"10,1"
619,"4,8"
620,0
621,0
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,0
630,0
631,0
632,0
633,0
634,0
635,0
636,0
637,0
638,0
639,0
640,0
641,0
642,0
643,0
644,0
645,0
646,"3,2"
647,"7,2"
648,"12,6"
649,"16,4"
650,"20,1"
651,"22,5"
652,"24,6"
653,"28,2"
654,"31,5"
655,"33,8"
656,"35,7"
657,"37,5"
658,"39,4"
659,"40,7"
660,"41,2"
661,"41,8"
662,"43,9"
663,"43,1"
664,"42,3"
665,"42,5"
666,"42,6"
667,"42,6"
668,"41,8"
669,41
670,38
671,"34,4"
672,"29,8"
673,"26,4"
674,"23,3"
675,"18,7"
676,14
677,"9,3"
678,"5,6"
679,"3,2"
680,0
681,0
682,0
683,0
684,0
685,0
686,0
687,0
688,0
689,0
690,0
691,0
692,0
693,0
694,"2,3"
695,"5,3"
696,"7,1"
697,"10,5"
698,"14,8"
699,"18,2"
700,"21,7"
701,"23,5"
702,"26,4"
703,"26,9"
704,"26,6"
705,"26,6"
706,"29,3"
707,"30,9"
708,"32,3"
709,"34,6"
710,"36,2"
711,"36,2"
712,"35,6"
713,"36,5"
714,"37,5"
715,"37,8"
716,"36,2"
717,"34,8"
718,33
719,29
720,"24,1"
721,"19,3"
722,"14,5"
723,10
724,"7,2"
725,"4,8"
726,"3,4"
727,"0,8"
728,"0,8"
729,"5,1"
730,"10,5"
731,"15,4"
732,"20,1"
733,"22,5"
734,"25,7"
735,29
736,"31,5"
737,"34,6"
738,"37,2"
739,"39,4"
740,41
741,"42,6"
742,"43,6"
743,"44,4"
744,"44,9"
745,"45,5"
746,46
747,46
748,"45,5"
749,"45,4"
750,"45,1"
751,"44,3"
752,"43,1"
753,41
754,"37,8"
755,"34,6"
756,"30,6"
757,"26,6"
758,24
759,"20,1"
760,"15,1"
761,10
762,"4,8"
763,"2,4"
764,"2,4"
765,"0,8"
766,0
767,"4,8"
768,"10,1"
769,"15,4"
770,"20,8"
771,"25,4"
772,"28,2"
773,"29,6"
774,"31,4"
775,"33,3"
776,"35,4"
777,"37,3"
778,"40,2"
779,"42,6"
780,"44,3"
781,"45,1"
782,"45,5"
783,"46,5"
784,"46,5"
785,"46,5"
786,"46,3"
787,"45,9"
788,"45,5"
789,"45,5"
790,"45,5"
791,"45,4"
792,"44,4"
793,"44,3"
794,"44,3"
795,"44,3"
796,"44,3"
797,"44,3"
798,"44,3"
799,"44,4"
800,"45,1"
801,"45,9"
802,"48,3"
803,"49,9"
804,"51,5"
805,"53,1"
806,"53,1"
807,"54,1"
808,"54,7"
809,"55,2"
810,55
811,"54,7"
812,"54,7"
813,"54,6"
814,"54,1"
815,"53,3"
816,"53,1"
817,"52,3"
818,"51,5"
819,"51,3"
820,"50,9"
821,"50,7"
822,"49,2"
823,"48,3"
824,"48,1"
825,"48,1"
826,"48,1"
827,"48,1"
828,"47,6"
829,"47,5"
830,"47,5"
831,"47,2"
832,"46,5"
833,"45,4"
834,"44,6"
835,"43,5"
836,41
837,"38,1"
838,"35,4"
839,33
840,"30,9"
841,"30,9"
842,"32,3"
843,"33,6"
844,"34,4"
845,"35,4"
846,"36,4"
847,"37,3"
848,"38,6"
849,"40,2"
850,"41,8"
851,"42,8"
852,"42,8"
853,"43,1"
854,"43,5"
855,"43,8"
856,"44,7"
857,"45,2"
858,"46,3"
859,"46,5"
860,"46,7"
861,"46,8"
862,"46,7"
863,"45,2"
864,"44,3"
865,"43,5"
866,"41,5"
867,"40,2"
868,"39,4"
869,"39,9"
870,"40,4"
871,41
872,"41,4"
873,"42,2"
874,"43,3"
875,"44,3"
876,"44,7"
877,"45,7"
878,"46,7"
879,47
880,"46,8"
881,"46,7"
882,"46,5"
883,"45,9"
884,"45,2"
885,"45,1"
886,"45,1"
887,"44,4"
888,"43,8"
889,"42,8"
890,"43,5"
891,"44,3"
892,"44,7"
893,"45,1"
894,"44,7"
895,"45,1"
896,"45,1"
897,"45,1"
898,"44,6"
899,"44,1"
900,"43,3"
901,"42,8"
902,"42,6"
903,"42,6"
904,"42,6"
905,"42,3"
906,"42,2"
907,"42,2"
908,"41,7"
909,"41,2"
910,"41,2"
911,"41,7"
912,"41,5"
913,41
914,"39,6"
915,"37,8"
916,"35,7"
917,"34,8"
918,"34,8"
919,"34,9"
920,"36,4"
921,"37,7"
922,"38,6"
923,"38,9"
924,"39,3"
925,"40,1"
926,"40,4"
927,"40,6"
928,"40,7"
929,41
930,"40,6"
931,"40,2"
932,"40,3"
933,"40,2"
934,"39,8"
935,"39,4"
936,"39,1"
937,"39,1"
938,"39,4"
939,"40,2"
940,"40,2"
941,"39,6"
942,"39,6"
943,"38,8"
944,"39,4"
945,"40,4"
946,"41,2"
947,"40,4"
948,"38,6"
949,"35,4"
950,"32,3"
951,"27,2"
952,"21,9"
953,"16,6"
954,"11,3"
955,6
956,"0,6"
957,0
958,0
959,0
960,"3,2"
961,"8,5"
962,"13,8"
963,"19,2"
964,"24,5"
965,"28,2"
966,"29,9"
967,"32,2"
968,34
969,"35,4"
970,37
971,"39,4"
972,"42,3"
973,"44,3"
974,"45,2"
975,"45,7"
976,"45,9"
977,"45,9"
978,"45,9"
979,"44,6"
980,"44,3"
981,"43,8"
982,"43,1"
983,"42,6"
984,"41,8"
985,"41,4"
986,"40,6"
987,"38,6"
988,"35,4"
989,"34,6"
990,"34,6"
991,"35,1"
992,"36,2"
993,37
994,"36,7"
995,"36,7"
996,37
997,"36,5"
998,"36,5"
999,"36,5"
1000,"37,8"
1001,"38,6"
1002,"39,6"
1003,"39,9"
1004,"40,4"
1005,41
1006,"41,2"
1007,41
1008,"40,2"
1009,"38,8"
1010,"38,1"
1011,"37,3"
1012,"36,9"
1013,"36,2"
1014,"35,4"
1015,"34,8"
1016,33
1017,"28,2"
1018,"22,9"
1019,"17,5"
1020,"12,2"
1021,"6,9"
1022,"1,6"
1023,0
1024,0
1025,0
1026,0
1027,0
1028,0
1029,0
1030,0
1031,0
1032,0
1033,0
1034,0
1035,0
1036,0
1037,0
1038,0
1039,0
1040,0
1041,0
1042,0
1043,0
1044,0
1045,0
1046,0
1047,0
1048,0
1049,0
1050,0
1051,0
1052,0
1053,"1,9"
1054,"6,4"
1055,"11,7"
1056,"17,1"
1057,"22,4"
1058,"27,4"
1059,"29,8"
1060,"32,2"
1061,"35,1"
1062,37
1063,"38,6"
1064,"39,9"
1065,"41,2"
1066,"42,6"
1067,"43,1"
1068,"44,1"
1069,"44,9"
1070,"45,5"
1071,"45,1"
1072,"44,3"
1073,"43,5"
1074,"43,5"
1075,"42,3"
1076,"39,4"
1077,"36,2"
1078,"34,6"
1079,"33,2"
1080,29
1081,"24,1"
1082,"19,8"
1083,"17,9"
1084,"17,1"
1085,"16,1"
1086,"15,3"
1087,"14,6"
1088,14
1089,"13,8"
1090,"14,3"
1091,"14,5"
1092,14
1093,"13,8"
1094,"12,9"
1095,"11,3"
1096,8
1097,"6,8"
1098,"4,2"
1099,"1,6"
1100,0
1101,"0,2"
1102,1
1103,"2,6"
1104,"5,8"
1105,"11,1"
1106,"16,1"
1107,"20,6"
1108,"22,5"
1109,"23,3"
1110,"25,7"
1111,"29,1"
1112,"32,2"
1113,"33,8"
1114,"34,1"
1115,"34,3"
1116,"34,4"
1117,"34,9"
1118,"36,2"
1119,37
1120,"38,3"
1121,"39,4"
1122,"40,2"
1123,"40,1"
1124,"39,9"
1125,"40,2"
1126,"40,9"
1127,"41,5"
1128,"41,8"
1129,"42,5"
1130,"42,8"
1131,"43,3"
1132,"43,5"
1133,"43,5"
1134,"43,5"
1135,"43,3"
1136,"43,1"
1137,"43,1"
1138,"42,6"
1139,"42,5"
1140,"41,8"
1141,41
1142,"39,6"
1143,"37,8"
1144,"34,6"
1145,"32,3"
1146,"28,2"
1147,"25,7"
1148,"22,5"
1149,"17,2"
1150,"11,9"
1151,"6,6"
1152,"1,3"
1153,0
1154,0
1155,0
1156,0
1157,0
1158,0
1159,0
1160,0
1161,0
1162,0
1163,0
1164,0
1165,0
1166,0
1167,0
1168,0
1169,"3,4"
1170,"8,7"
1171,14
1172,"19,3"
1173,"24,6"
1174,"29,9"
1175,34
1176,37
1177,"37,8"
1178,37
1179,"36,2"
1180,"32,2"
1181,"26,9"
1182,"21,6"
1183,"16,3"
1184,"10,9"
1185,"5,6"
1186,"0,3"
1187,0
1188,0
1189,0
1190,0
1191,0
1192,0
1193,0
1194,0
1195,0
1196,0
1197,"0,3"
1198,"2,4"
1199,"5,6"
1200,"10,5"
1201,"15,8"
1202,"19,3"
1203,"20,8"
1204,"20,9"
1205,"20,3"
1206,"20,6"
1207,"21,1"
1208,"21,1"
1209,"22,5"
1210,"24,9"
1211,"27,4"
1212,"29,9"
1213,"31,7"
1214,"33,8"
1215,"34,6"
1216,"35,1"
1217,"35,1"
1218,"34,6"
1219,"34,1"
1220,"34,6"
1221,"35,1"
1222,"35,4"
1223,"35,2"
1224,"34,9"
1225,"34,6"
1226,"34,6"
1227,"34,4"
1228,"32,3"
1229,"31,4"
1230,"30,9"
1231,"31,5"
1232,"31,9"
1233,"32,2"
1234,"31,4"
1235,"28,2"
1236,"24,9"
1237,"20,9"
1238,"16,1"
1239,"12,9"
1240,"9,7"
1241,"6,4"
1242,4
1243,"1,1"
1244,0
1245,0
1246,0
1247,0
1248,0
1249,0
1250,0
1251,0
1252,"1,6"
1253,"1,6"
1254,"1,6"
1255,"1,6"
1256,"1,6"
1257,"2,6"
1258,"4,8"
1259,"6,4"
1260,8
1261,"10,1"
1262,"12,9"
1263,"16,1"
1264,"16,9"
1265,"15,3"
1266,"13,7"
1267,"12,2"
1268,"14,2"
1269,"17,7"
1270,"22,5"
1271,"27,4"
1272,"31,4"
1273,"33,8"
1274,"35,1"
1275,"35,7"
1276,37
1277,38
1278,"38,8"
1279,"39,4"
1280,"39,4"
1281,"38,6"
1282,"37,8"
1283,"37,8"
1284,"37,8"
1285,"37,8"
1286,"37,8"
1287,"37,8"
1288,"38,6"
1289,"38,8"
1290,"39,4"
1291,"39,8"
1292,"40,2"
1293,"40,9"
1294,"41,2"
1295,"41,4"
1296,"41,8"
1297,"42,2"
1298,"43,5"
1299,"44,7"
1300,"45,5"
1301,"46,7"
1302,"46,8"
1303,"46,7"
1304,"45,1"
1305,"39,8"
1306,"34,4"
1307,"29,1"
1308,"23,8"
1309,"18,5"
1310,"13,2"
1311,"7,9"
1312,"2,6"
1313,0
1314,0
1315,0
1316,0
1317,0
1318,0
1319,0
1320,0
1321,0
1322,0
1323,0
1324,0
1325,0
1326,0
1327,0
1328,0
1329,0
1330,0
1331,0
1332,0
1333,0
1334,0
1335,0
1336,0
1337,0
1338,"2,4"
1339,"7,7"
1340,13
1341,"18,3"
1342,"21,2"
1343,"24,3"
1344,27
1345,"29,5"
1346,"31,4"
1347,"32,7"
1348,"34,3"
1349,"35,2"
1350,"35,6"
1351,36
1352,"35,4"
1353,"34,8"
1354,34
1355,33
1356,"32,2"
1357,"31,5"
1358,"29,8"
1359,"28,2"
1360,"26,6"
1361,"24,9"
1362,"22,5"
1363,"17,7"
1364,"12,9"
1365,"8,4"
1366,4
1367,0
1368,0
1369,0
1370,0
1371,0
1373,0
1374,0
1375,0
1376,0
1377,0
1378,0
1379,0
1380,0
1381,0
1382,0
1383,0
1384,0
1385,0
1386,0
1387,0
1388,0
1389,0
1390,0
1391,0
1392,0
1393,0
1394,0
1395,0
1396,0
1397,0
1398,0
1399,0
1400,0
1401,0
1402,0
1403,0
1404,0
1405,0
1406,0
1407,0
1408,0
1409,0
1410,0
1411,0
1412,0
1413,0
1414,0
1415,0
1416,0
1417,0
1418,0
1419,0
1420,0
1421,0
1422,0
1423,0
1424,0
1425,0
1426,0
1427,0
1428,0
1429,0
1430,0
1431,0
1432,0
1433,0
1434,0
1435,0
1436,0
1437,0
1438,0
1439,0
1440,0
1441,0
1442,0
1443,0
1444,0
1445,0
1446,0
1447,0
1448,0
1449,0
1450,0
1451,0
1452,0
1453,0
1454,0
1455,0
1456,0
1457,0
1458,0
1459,0
1460,0
1461,0
1462,0
1463,0
1464,0
1465,0
1466,0
1467,0
1468,0
1469,0
1470,0
1471,0
1472,0
1473,0
1474,0
1475,0
1476,0
1477,0
1478,0
1479,0
1480,0
1481,0
1482,0
1483,0
1484,0
1485,0
1486,0
1487,0
1488,0
1489,0
1490,0
1491,0
1492,0
1493,0
1494,0
1495,0
1496,0
1497,0
1498,0
1499,0
1500,0
1501,0
1502,0
1503,0
1504,0
1505,0
1506,0
1507,0
1508,0
1509,0
1510,0
1511,0
1512,0
1513,0
1514,0
1515,0
1516,0
1517,0
1518,0
1519,0
1520,0
1521,0
1522,0
1523,0
1524,0
1525,0
1526,0
1527,0
1528,0
1529,0
1530,0
1531,0
1532,0
1533,0
1534,0
1535,0
1536,0
1537,0
1538,0
1539,0
1540,0
1541,0
1542,0
1543,0
1544,0
1545,0
1546,0
1547,0
1548,0
1549,0
1550,0
1551,0
1552,0
1553,0
1554,0
1555,0
1556,0
1557,0
1558,0
1559,0
1560,0
1561,0
1562,0
1563,0
1564,0
1565,0
1566,0
1567,0
1568,0
1569,0
1570,0
1571,0
1572,0
1573,0
1574,0
1575,0
1576,0
1577,0
1578,0
1579,0
1580,0
1581,0
1582,0
1583,0
1584,0
1585,0
1586,0
1587,0
1588,0
1589,0
1590,0
1591,0
1592,0
1593,0
1594,0
1595,0
1596,0
1597,0
1598,0
1599,0
1600,0
1601,0
1602,0
1603,0
1604,0
1605,0
1606,0
1607,0
1608,0
1609,0
1610,0
1611,0
1612,0
1613,0
1614,0
1615,0
1616,0
1617,0
1618,0
1619,0
1620,0
1621,0
1622,0
1623,0
1624,0
1625,0
1626,0
1627,0
1628,0
1629,0
1630,0
1631,0
1632,0
1633,0
1634,0
1635,0
1636,0
1637,0
1638,0
1639,0
1640,0
1641,0
1642,0
1643,0
1644,0
1645,0
1646,0
1647,0
1648,0
1649,0
1650,0
1651,0
1652,0
1653,0
1654,0
1655,0
1656,0
1657,0
1658,0
1659,0
1660,0
1661,0
1662,0
1663,0
1664,0
1665,0
1666,0
1667,0
1668,0
1669,0
1670,0
1671,0
1672,0
1673,0
1674,0
1675,0
1676,0
1677,0
1678,0
1679,0
1680,0
1681,0
1682,0
1683,0
1684,0
1685,0
1686,0
1687,0
1688,0
1689,0
1690,0
1691,0
1692,0
1693,0
1694,0
1695,0
1696,0
1697,0
1698,0
1699,0
1700,0
1701,0
1702,0
1703,0
1704,0
1705,0
1706,0
1707,0
1708,0
1709,0
1710,0
1711,0
1712,0
1713,0
1714,0
1715,0
1716,0
1717,0
1718,0
1719,0
1720,0
1721,0
1722,0
1723,0
1724,0
1725,0
1726,0
1727,0
1728,0
1729,0
1730,0
1731,0
1732,0
1733,0
1734,0
1735,0
1736,0
1737,0
1738,0
1739,0
1740,0
1741,0
1742,0
1743,0
1744,0
1745,0
1746,0
1747,0
1748,0
1749,0
1750,0
1751,0
1752,0
1753,0
1754,0
1755,0
1756,0
1757,0
1758,0
1759,0
1760,0
1761,0
1762,0
1763,0
1764,0
1765,0
1766,0
1767,0
1768,0
1769,0
1770,0
1771,0
1772,0
1773,0
1774,0
1775,0
1776,0
1777,0
1778,0
1779,0
1780,0
1781,0
1782,0
1783,0
1784,0
1785,0
1786,0
1787,0
1788,0
1789,0
1790,0
1791,0
1792,0
1793,0
1794,0
1795,0
1796,0
1797,0
1798,0
1799,0
1800,0
1801,0
1802,0
1803,0
1804,0
1805,0
1806,0
1807,0
1808,0
1809,0
1810,0
1811,0
1812,0
1813,0
1814,0
1815,0
1816,0
1817,0
1818,0
1819,0
1820,0
1821,0
1822,0
1823,0
1824,0
1825,0
1826,0
1827,0
1828,0
1829,0
1830,0
1831,0
1832,0
1833,0
1834,0
1835,0
1836,0
1837,0
1838,0
1839,0
1840,0
1841,0
1842,0
1843,0
1844,0
1845,0
1846,0
1847,0
1848,0
1849,0
1850,0
1851,0
1852,0
1853,0
1854,0
1855,0
1856,0
1857,0
1858,0
1859,0
1860,0
1861,0
1862,0
1863,0
1864,0
1865,0
1866,0
1867,0
1868,0
1869,0
1870,0
1871,0
1872,0
1873,0
1874,0
1875,0
1876,0
1877,0
1878,0
1879,0
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,"4,8"
2003,"9,5"
2004,"13,8"
2005,"18,5"
2006,23
2007,"27,2"
2008,"27,8"
2009,"29,1"
2010,"33,3"
2011,"34,9"
2012,36
2013,"36,2"
2014,"35,6"
2015,"34,6"
2016,"33,6"
2017,"32,8"
2018,"31,9"
2019,"27,4"
2020,24
2021,24
2022,"24,5"
2023,"24,9"
2024,"25,7"
2025,"27,5"
2026,"30,7"
2027,34
2028,"36,5"
2029,"36,9"
2030,"36,5"
2031,"36,4"
2032,"34,3"
2033,"30,6"
2034,"27,5"
2035,"25,4"
2036,"25,4"
2037,"28,5"
2038,"31,9"
2039,"34,8"
2040,"37,3"
2041,"38,9"
2042,"39,6"
2043,"40,1"
2044,"40,2"
2045,"39,6"
2046,"39,4"
2047,"39,8"
2048,"39,9"
2049,"39,8"
2050,"39,6"
2051,"39,6"
2052,"40,4"
2053,"41,2"
2054,"41,4"
2055,"40,9"
2056,"40,1"
2057,"40,2"
2058,"40,9"
2059,"41,8"
2060,"41,8"
2061,"41,4"
2062,42
2063,43
2064,"44,3"
2065,46
2066,"47,2"
2067,48
2068,"48,4"
2069,"48,9"
2070,"49,4"
2071,"49,4"
2072,"49,1"
2073,"48,9"
2074,"48,8"
2075,"48,9"
2076,"49,6"
2077,"48,9"
2078,"48,1"
2079,"47,5"
2080,48
2081,"48,8"
2082,"49,4"
2083,"49,7"
2084,"49,9"
2085,"49,7"
2086,"48,9"
2087,48
2088,"48,1"
2089,"48,6"
2090,"49,4"
2091,"50,2"
2092,"51,2"
2093,"51,8"
2094,"52,1"
2095,"51,8"
2096,51
2097,46
2098,"40,7"
2099,"35,4"
2100,"30,1"
2101,"24,8"
2102,"19,5"
2103,"14,2"
2104,"8,9"
